name,id,level,1_country_id,1_country,2_district_id,2_district,3_chiefdom_id,3_chiefdom
Dankawalie MCHP,DErmFP7bri7,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,VGAFxBXz16y,Sengbeh
Daru CHC,m5BX6CvJ6Ex,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,KSdZwrU7Hh6,Jawi
Dasse,RndxKqQGzUl,3,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,,
Dawa MCHP,JemZqD90S44,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,hjpHnHZIniP,Kissi Tongi
Dea,lYIM1MXbSYS,3,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,,
Deep Eye water MCHP,yets9NmUcRS,4,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,qtr8GGlm4gg,Rural Western Area
Degbuama MCHP,C1tAqIpKB9k,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,KIUCimTXf8Q,Nongowa
Deima MCHP,oIgBLlEo6eH,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,K1r3uF6eZ8n,Kandu Lepiema
Delken MCHP,sSgOnY1Xqd9,4,ImspTQPwCqd,Sierra Leone,lc3eMKXaEfw,Bonthe,g8DdBm7EmUt,Sittia
Dema,DNRAeXT9IwS,3,ImspTQPwCqd,Sierra Leone,lc3eMKXaEfw,Bonthe,,
Dembelia Sinkunia,Mr4au3jR9bt,3,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,,
Dia CHP,qHBTf9A89xW,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,JsxnA2IywRo,Kissi Kama
Diamei MCHP,M4hyYfnb21I,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,myQ4q1W6B4y,Dama
Diang,Lt8U7GVWvSR,3,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,,
Dibia,ZiOVcrSjSYe,3,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,,
Dibia MCHP,KbO0JnhiMwl,4,ImspTQPwCqd,Sierra Leone,PMa2VCrupOd,Kambia,QywkxFudXrC,Magbema
Dodo,QlCIp2S9NHs,3,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,,
Dodo CHC,jKZ0U8Og5aV,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,QlCIp2S9NHs,Dodo
Dodo Kortuma CHP,rwfuVQHnZJ5,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,cM2BKSrj9F9,Luawa
Dogoloya CHP,aIsnJuZbmVA,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,iEkBZnMDarP,Folosaba Dembelia
Doujou CHP,f90eISKFm7P,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,vzup1f6ynON,Small Bo
Dulukoro MCHP,RpjUEvgWSNO,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,GFk45MOxzJJ,Neya
Durukoro MCHP,ADeZNq1pKsu,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,GFk45MOxzJJ,Neya
EDC Unit CHP,K3k64jslIlL,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,U6Kr7Gtpidn,Kakua
Elshadai Clinic,F7oVR22kQ5J,4,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,qtr8GGlm4gg,Rural Western Area
Elshadai MCHP,sK498nBOLfQ,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,U6Kr7Gtpidn,Kakua
EM&BEE Maternity Home Clinic,LaxJ6CD2DHq,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,TQkG0sX9nca,Gbense
EPI Headquarter,FO1Tq8vUa62,4,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,C9uduqDZr9d,Freetown
Faabu CHP,ZpE2POxvl9P,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,vWbkYPRmKyS,Baoma
Faala CHP,hKD6hpZUh9v,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,X7dWcGerQIm,Wandor
